accession	measurementType	technologyType	Factors
OSD-792	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Microgravity Simulation
OSD-793	DNA methylation profiling	Reduced-Representation Bisulfite Sequencing	Spaceflight;Euthanasia Location;Dissection Condition;Duration
OSD-793	Targeted Transcriptome Sequencing	RNA Sequencing (RNA-Seq)	Spaceflight;Euthanasia Location;Dissection Condition;Duration
OSD-794	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Sample Location;Treatment
OSD-804	Bone Microstructure	Micro-Computed Tomography	Spaceflight
OSD-809	Metagenomic sequencing	Whole-Genome Shotgun Sequencing	Time
OSD-810	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation
OSD-811	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity
OSD-812	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation
OSD-813	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation
OSD-824	transcription profiling	RNA Sequencing (RNA-Seq)	Space Flight
OSD-825	transcription profiling	RNA Sequencing (RNA-Seq)	Sex;Diet;Age
OSD-832	metabolite profiling	mass spectrometry	Ionizing Radiation;Hindlimb Unloading
OSD-833	metabolite profiling	mass spectrometry	Ionizing Radiation;Hindlimb Unloading
OSD-834	metabolite profiling	mass spectrometry	Ionizing Radiation;Hindlimb Unloading
OSD-835	Behavior	Forced Swim Test	Ionizing Radiation;Hindlimb Unloading;Absorbed Radiation Dose
OSD-835	Behavior	Novel Object Recognition	Ionizing Radiation;Hindlimb Unloading;Absorbed Radiation Dose
OSD-835	Behavior	Open Field	Ionizing Radiation;Hindlimb Unloading;Absorbed Radiation Dose
OSD-836	Behavior	Anhedonia	Ionizing Radiation;Absorbed Radiation Dose;Hindlimb Unloading
OSD-836	Behavior	Elevated Plus Maze	Ionizing Radiation;Absorbed Radiation Dose;Hindlimb Unloading
OSD-836	Behavior	Novel Object Recognition	Ionizing Radiation;Absorbed Radiation Dose;Hindlimb Unloading
OSD-836	Behavior	Open Field	Ionizing Radiation;Absorbed Radiation Dose;Hindlimb Unloading
OSD-837	Behavior	Novel Object Recognition	Ionizing Radiation;Absorbed Radiation Dose;Hindlimb Unloading
OSD-837	Behavior	Open Field	Ionizing Radiation;Absorbed Radiation Dose;Hindlimb Unloading
OSD-840	transcription profiling	miRNA Sequencing	Ionizing Radiation
OSD-855	Germination and Growth Assesment	Plant Material Biomass	soil environment exposure;growth medium provenance
OSD-856	Germination and Growth Assesment	Plant Material Biomass	Treatment;Strain
OSD-863	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Co-culture;Donor Medical History
OSD-867	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Time
OSD-871	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Donor Medical History;Co-culture
OSD-876	transcription profiling	RNA Sequencing (RNA-Seq)	Hindlimb Unloading
OSD-877	Spectrochemical Analysis	Atomic Absorption Spectroscopy	Treatment;Growth Medium Provenance
OSD-880	transcription profiling	RNA Sequencing (RNA-Seq)	Hindlimb Unloading;Genotype
OSD-881	transcription profiling	RNA Sequencing (RNA-Seq)	Sex;Ionizing Radiation;Diet;Age at Sample Collection
OSD-883	Germination and Growth Assesment	Plant Material Biomass	Treatment;Growth Medium Provenance
OSD-883	Spectrochemical Analysis	Atomic Absorption Spectroscopy	Treatment;Growth Medium Provenance
OSD-883	Spectrochemical Analysis	Optical Emission Spectroscopy	Treatment;Growth Medium Provenance
OSD-888	DNA methylation profiling	Reduced-Representation Bisulfite Sequencing	Spaceflight
OSD-890	Metagenomic sequencing	long read low-biomass DNA Sequencing	Organism Distribution;Input DNA Mass;Lambda Spike-In
OSD-896	protein quantification	Western Blot	Ionizing Radiation;Absorbed Radiation Dose;Strain
OSD-897	protein quantification	Western Blot	Ionizing Radiation;Absorbed Radiation Dose;Strain
OSD-898	Molecular Cellular Imaging	Immunohistochemistry	Spaceflight
OSD-898	Molecular Cellular Imaging	Microscopy	Spaceflight
OSD-899	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Genotype
OSD-900	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Genotype
OSD-901	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight
OSD-903	transcription profiling	RNA Sequencing (RNA-Seq)	Time;Spaceflight
OSD-904	transcription profiling	miRNA Sequencing	Spaceflight;Euthanasia Location;Dissection Condition;Age
OSD-904	transcription profiling	single-cell RNA sequencing	Spaceflight;Euthanasia Location;Dissection Condition;Age
OSD-905	transcription profiling	miRNA Sequencing	Dissection Condition;Euthanasia Location;Age;Spaceflight
OSD-905	transcription profiling	single-cell RNA sequencing	Dissection Condition;Euthanasia Location;Age;Spaceflight
OSD-906	transcription profiling	miRNA Sequencing	Age;Dissection Condition;Spaceflight;Euthanasia Location
OSD-906	transcription profiling	single-cell RNA sequencing	Age;Dissection Condition;Spaceflight;Euthanasia Location
OSD-907	transcription profiling	miRNA Sequencing	Age;Spaceflight;Dissection Condition;Euthanasia Location
OSD-908	transcription profiling	miRNA Sequencing	Age;Dissection Condition;Euthanasia Location;Spaceflight
OSD-909	transcription profiling	miRNA Sequencing	Age;Dissection Condition;Euthanasia Location;Spaceflight
OSD-909	transcription profiling	single-cell RNA sequencing	Age;Dissection Condition;Euthanasia Location;Spaceflight
OSD-910	transcription profiling	miRNA Sequencing	Age;Spaceflight;Euthanasia Location;Dissection Condition
OSD-911	transcription profiling	miRNA Sequencing	Age;Spaceflight;Euthanasia Location;Dissection Condition
OSD-911	transcription profiling	single-cell RNA sequencing	Age;Spaceflight;Euthanasia Location;Dissection Condition
OSD-912	transcription profiling	miRNA Sequencing	Spaceflight;Euthanasia Location;Age;Dissection Condition
OSD-912	transcription profiling	single-cell RNA sequencing	Spaceflight;Euthanasia Location;Age;Dissection Condition
OSD-913	transcription profiling	miRNA Sequencing	Spaceflight;Age;Euthanasia Location;Dissection Condition
OSD-914	transcription profiling	miRNA Sequencing	Spaceflight;Age;Euthanasia Location;Dissection Condition
OSD-914	transcription profiling	single-cell RNA sequencing	Spaceflight;Age;Euthanasia Location;Dissection Condition
OSD-915	transcription profiling	miRNA Sequencing	Spaceflight;Euthanasia Location;Age;Dissection Condition
OSD-915	transcription profiling	single-cell RNA sequencing	Spaceflight;Euthanasia Location;Age;Dissection Condition
OSD-916	transcription profiling	miRNA Sequencing	Spaceflight;Euthanasia Location;Age;Dissection Condition
OSD-918	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-919	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-920	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-921	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-922	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-923	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-924	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-926	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-927	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-928	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-929	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-930	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-931	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-932	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-933	transcription profiling	single-cell RNA sequencing	Spaceflight;Age
OSD-935	transcription profiling	RNA Sequencing (RNA-Seq)	Hindlimb Unloading;Ionizing Radiation;Treatment
OSD-936	transcription profiling	RNA Sequencing (RNA-Seq)	Altered Gravity;Coating;Spaceflight;Altered Gravity Duration
OSD-936	translation profiling	Ribo-seq (Ribosome profiling)	Altered Gravity;Coating;Spaceflight;Altered Gravity Duration
OSD-937	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Donor Age;Treatment;Time
OSD-939	Behavior	Psychomotor Vigilance Test	Ionizing Radiation;Absorbed Radiation Dose;Assay Time Post-Irradiation;Strain
OSD-940	transcription profiling	RNA Sequencing (RNA-Seq)	Microgravity Simulation
OSD-942	transcription profiling	DNA microarray	Bed Rest;Time;Treatment
OSD-943	DNA methylation profiling	DNA microarray	Spaceflight;Time
OSD-944	Metagenomic sequencing	long read low-biomass DNA Sequencing	Sample Location;Collection Date
OSD-944	Metagenomic sequencing	short read low-biomass DNA Sequencing	Sample Location;Collection Date
OSD-946	transcription profiling	miRNA Microarray	Bed Rest;Time;Treatment
OSD-949	transcription profiling	RNA Sequencing (RNA-Seq)	Genotype;Hindlimb Unloading;Sex
OSD-952	Behavior	Behavioral Segmentation	Mission Time;Spaceflight
OSD-952	Behavior	Pose Estimation	Mission Time;Spaceflight
OSD-955	transcription profiling	RNA Sequencing (RNA-Seq)	Minimized Mechanical Stress;Duration
OSD-955	translation profiling	Ribo-seq (Ribosome profiling)	Minimized Mechanical Stress;Duration
OSD-956	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Altered Gravity
OSD-956	translation profiling	Ribo-seq (Ribosome profiling)	Spaceflight;Altered Gravity
OSD-961	transcription profiling	RNA Sequencing (RNA-Seq)	Spaceflight;Treatment;Time
OSD-964	Cell Viability	alamarBlue	Ionizing Radiation;Absorbed Radiation Dose;Ploidy;Growth Condition Design;Strain
OSD-968	Electrophysiology	Extracellular Electrophysiology Recording	Spaceflight;Time
OSD-969	transcription profiling	real time PCR	Spaceflight
OSD-970	transcription profiling	real time PCR	Spaceflight
OSD-972	transcription profiling	DNA microarray	Ionizing Radiation;Absorbed Radiation Dose;Time of Sample Collection After Treatment
OSD-973	transcription profiling	DNA microarray	Ionizing Radiation;Absorbed Radiation Dose
OSD-974	transcription profiling	DNA microarray	Ionizing Radiation;Absorbed Radiation Dose
OSD-977	Bone Microstructure	Micro-Computed Tomography	Treatment;Spaceflight;Sex;Material Type
OSD-979	Bone Microstructure	Dual-Energy X-Ray Absorptiometry	Material Type;Housing Condition;Housing Temperature
OSD-979	Bone Microstructure	Micro-Computed Tomography	Material Type;Housing Condition;Housing Temperature
OSD-980	Bone Microstructure	Micro-Computed Tomography	Hindlimb Unloading;Material Type;Housing Temperature
OSD-981	Bone Microstructure	Dual-Energy X-Ray Absorptiometry	Genotype;Material Type;Hematopoietic Stem Cell Donor Strain
OSD-981	Bone Microstructure	Micro-Computed Tomography	Genotype;Material Type;Hematopoietic Stem Cell Donor Strain
OSD-981	Histological Assay	Histomorphometry	Genotype;Material Type;Hematopoietic Stem Cell Donor Strain
OSD-990	transcription profiling	RNA Sequencing (RNA-Seq)	Hypergravity;Hypergravity Duration;Total Incubation Time
OSD-992	transcription profiling	single-cell RNA sequencing	Ionizing Radiation;Treatment Group
OSD-993	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Treatment Group
OSD-998	transcription profiling	RNA Sequencing (RNA-Seq)	Hypergravity;Time of Sample Collection After Treatment
OSD-999	transcription profiling	RNA Sequencing (RNA-Seq)	Ionizing Radiation;Sex
